STFID,WHITE,MINORITY,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC
2.62E+11,779,680,254,19,110,0,28,236,33
2.62E+11,15,633,624,1,1,0,0,4,3
2.62E+11,7,1430,1392,4,0,0,3,8,23
2.62E+11,0,2,2,0,0,0,0,0,0
2.62E+11,249,494,488,0,0,0,0,3,3
2.62E+11,38,992,979,1,1,0,1,5,5
2.62E+11,29,1550,1517,0,1,1,4,20,7
2.62E+11,8,635,623,1,0,0,1,6,4
2.62E+11,863,51,5,8,10,0,3,9,16
2.62E+11,482,776,192,2,95,0,23,435,29
2.62E+11,19,985,964,0,1,0,0,13,7
2.62E+11,6,1165,1155,0,0,0,0,8,2
2.62E+11,90,604,575,1,1,0,8,6,13
2.62E+11,18,671,662,2,0,0,0,6,1
2.62E+11,7,1652,1620,2,0,0,2,19,9
2.62E+11,11,438,425,1,2,0,2,6,2
2.62E+11,5,1219,1201,1,1,0,1,14,1
2.62E+11,2149,316,44,0,167,0,15,41,49
2.62E+11,349,44,17,1,21,0,1,2,2
2.62E+11,2,1065,1049,1,3,1,0,4,7
2.62E+11,9,605,596,1,0,0,0,7,1
2.62E+11,822,24,3,1,4,0,3,5,8
2.62E+11,10,424,413,0,0,0,1,6,4
2.62E+11,28,749,721,2,9,0,2,8,7
2.62E+11,6,900,885,2,0,0,1,4,8
2.62E+11,7,941,916,6,0,0,2,15,2
2.62E+11,10,798,772,4,1,0,4,12,5
2.62E+11,43,1098,1015,3,27,0,5,33,15
2.62E+11,0,6,6,0,0,0,0,0,0
2.62E+11,14,1193,1171,3,0,0,2,12,5
2.62E+11,26,981,965,0,0,0,2,13,1
2.62E+11,17,1030,1021,0,0,1,0,8,0
2.62E+11,9,646,645,0,0,0,1,0,0
2.62E+11,57,1479,1420,2,0,0,10,29,18
2.62E+11,8,661,633,0,0,0,3,11,14
2.62E+11,14,928,913,0,1,0,2,11,1
2.62E+11,810,76,31,7,4,0,5,10,19
2.62E+11,7,831,808,1,2,0,0,13,7
2.62E+11,340,568,270,1,86,6,8,180,17
2.62E+11,6,620,607,0,0,0,4,4,5
2.62E+11,871,235,157,2,15,0,3,29,29
2.62E+11,215,868,819,0,0,0,4,23,22
2.62E+11,752,45,14,0,6,0,0,9,16
2.62E+11,87,371,343,4,3,0,3,10,8
2.62E+11,3,646,633,1,2,0,1,4,5
2.62E+11,1025,97,17,9,6,0,12,22,31
2.62E+11,1,912,888,0,0,0,0,16,8
2.62E+11,5,726,706,4,0,0,0,13,3
2.62E+11,5,595,581,1,0,0,0,6,7
2.62E+11,4,639,635,2,0,0,0,0,2
2.62E+11,9,519,505,0,0,0,1,8,5
2.62E+11,5,759,741,1,2,0,6,5,4
2.62E+11,8,1257,1226,0,1,0,9,17,4
2.62E+11,10,1110,1076,2,0,0,1,15,16
2.62E+11,15,1835,1803,5,0,0,2,16,9
2.62E+11,7,872,861,0,0,0,0,2,9
2.62E+11,4,890,873,2,1,0,1,9,4
2.62E+11,1537,112,7,2,45,0,5,19,34
2.62E+11,3,634,620,1,1,0,0,10,2
2.62E+11,7,735,721,0,0,0,2,10,2
2.62E+11,3,486,483,0,0,0,0,0,3
2.62E+11,10,619,612,1,0,0,0,3,3
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,13,1224,1189,3,0,0,5,17,10
2.62E+11,1,643,638,1,0,0,0,4,0
2.62E+11,640,33,3,0,4,0,7,6,13
2.62E+11,4,664,638,4,2,0,1,13,6
2.62E+11,35,1402,1339,8,1,0,3,46,5
2.62E+11,6,438,431,0,0,0,0,5,2
2.62E+11,13,1229,1213,2,4,0,0,9,1
2.62E+11,37,832,807,1,0,0,2,18,4
2.62E+11,18,1004,974,5,2,0,3,11,9
2.62E+11,10,587,571,0,3,0,1,10,2
2.62E+11,7,713,709,1,0,0,0,2,1
2.62E+11,0,51,51,0,0,0,0,0,0
2.62E+11,13,1264,1229,0,5,0,1,25,4
2.62E+11,11,1011,969,5,2,0,8,10,17
2.62E+11,10,612,599,2,0,0,3,6,2
2.62E+11,6,718,705,0,0,0,0,11,2
2.62E+11,14,1060,1027,1,0,0,9,4,19
2.62E+11,8,833,824,1,0,0,0,6,2
2.62E+11,189,756,665,2,29,0,16,15,29
2.62E+11,351,32,20,1,0,0,2,1,8
2.62E+11,18,914,886,0,0,0,7,10,11
2.62E+11,49,789,758,2,1,0,1,22,5
2.62E+11,624,47,15,4,4,0,2,9,13
2.62E+11,51,784,757,0,2,0,0,20,5
2.62E+11,1148,110,18,6,50,0,2,15,19
2.62E+11,41,656,627,1,2,0,6,12,8
2.62E+11,30,766,734,2,6,0,6,15,3
2.62E+11,3,555,552,0,0,0,0,3,0
2.62E+11,13,746,714,3,4,0,2,17,6
2.62E+11,5,572,563,0,1,0,3,0,5
2.62E+11,9,576,538,7,1,0,3,20,7
2.62E+11,8,868,837,2,1,1,0,18,9
2.62E+11,15,626,594,9,0,0,0,17,6
2.62E+11,5,722,712,0,0,0,0,7,3
2.62E+11,3,664,639,0,1,0,6,8,10
2.62E+11,865,86,16,9,27,0,1,10,23
2.62E+11,1,344,336,0,0,0,0,6,2
2.62E+11,79,833,819,1,0,0,0,6,7
2.62E+11,29,463,458,1,0,0,0,3,1
2.62E+11,30,790,760,7,0,0,0,23,0
2.62E+11,3,1382,1363,2,0,1,2,5,9
2.62E+11,1028,40,5,4,5,1,4,9,12
2.62E+11,100,384,376,0,0,0,0,7,1
2.62E+11,1,536,522,10,0,0,0,2,2
2.62E+11,1178,76,15,1,22,0,2,13,23
2.62E+11,595,35,2,6,5,0,0,9,13
2.62E+11,17,426,413,5,0,0,0,4,4
2.62E+11,8,926,910,2,0,0,1,9,4
2.62E+11,30,860,801,2,13,0,0,28,16
2.62E+11,10,938,917,4,1,0,3,8,5
2.62E+11,16,663,653,0,0,0,0,1,9
2.62E+11,3,633,625,0,0,0,1,2,5
2.62E+11,109,1597,1522,1,9,0,6,46,13
2.62E+11,2,696,693,0,0,0,0,2,1
2.62E+11,4,886,865,1,3,0,9,7,1
2.62E+11,827,31,6,7,3,0,1,9,5
2.62E+11,1,584,565,1,0,0,0,10,8
2.62E+11,227,1409,1362,2,2,0,5,28,10
2.62E+11,20,448,445,0,0,0,0,3,0
2.62E+11,103,373,337,2,2,0,0,30,2
2.62E+11,5,859,839,6,0,0,1,12,1
2.62E+11,17,747,726,0,3,0,3,8,7
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,34,2048,1988,21,0,0,4,26,9
2.62E+11,41,1110,1070,1,0,0,1,24,14
2.62E+11,71,1196,1166,1,3,0,6,17,3
2.62E+11,26,1630,1591,7,3,0,5,16,8
2.62E+11,10,531,518,5,0,0,0,4,4
2.62E+11,73,1074,1030,1,0,0,5,14,24
2.62E+11,26,392,378,2,0,0,2,3,7
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,55,522,518,0,1,0,0,1,2
2.62E+11,41,711,684,3,6,1,0,17,0
2.62E+11,55,1805,1766,5,2,0,2,21,9
2.62E+11,9,805,786,1,0,0,4,12,2
2.62E+11,11,702,695,0,0,0,0,6,1
2.62E+11,14,711,696,7,0,0,3,3,2
2.62E+11,13,770,754,0,0,0,5,10,1
2.62E+11,18,811,795,3,2,0,0,6,5
2.62E+11,14,912,901,1,0,0,0,7,3
2.62E+11,18,920,900,0,0,0,1,9,10
2.62E+11,10,868,858,0,5,1,0,3,1
2.62E+11,19,743,733,0,0,0,1,5,4
2.62E+11,1099,57,21,1,12,0,2,13,8
2.62E+11,1251,114,35,0,10,0,8,33,28
2.62E+11,1757,121,30,0,15,0,13,19,44
2.62E+11,17,1012,971,1,9,0,0,22,9
2.62E+11,977,89,21,5,7,0,2,16,38
2.62E+11,825,51,9,4,12,0,0,17,9
2.62E+11,2,68,66,0,0,0,1,0,1
2.62E+11,1690,83,7,4,13,0,4,25,30
2.62E+11,832,46,1,0,3,0,9,15,18
2.62E+11,1290,89,1,2,25,0,8,20,33
2.62E+11,1225,106,10,3,43,0,2,21,27
2.62E+11,785,42,10,2,10,0,0,11,9
2.62E+11,77,338,328,2,0,0,2,6,0
2.62E+11,1091,42,10,1,6,0,3,8,14
2.62E+11,764,41,1,0,24,0,1,9,6
2.62E+11,28,711,694,3,0,0,0,6,8
2.62E+11,1291,66,13,1,18,1,10,13,10
2.62E+11,904,44,3,1,20,1,0,9,10
2.62E+11,41,584,547,4,4,0,0,23,6
2.62E+11,12,961,941,0,1,0,0,7,12
